Year,rec4,rec5,rec,eff_fem,ReturnYear_Rec,Escape
1998,,932,,424,,1072
1999,17703,2323,20026,210,,428
2000,126202,2189,128391,4790,,8160
2001,2708,434,3142,13441,,30511
2002,5565,409,5974,2157,,3867
2003,1672,5942,7614,2879,18635,4997
2004,76894,6882,83776,20387,128525,40329
2005,1140,79,1219,1970,4897,3407
2006,3570,319,3889,565,5999,1097
2007,6167,24231,30399,1071,2081,1987
2008,187794,12285,200078,19718,82836,67822
2009,5323,1723,7047,2355,8022,5587
2010,4507,1061,5568,1501,3649,2795
2011,8677,2462,11139,2466,6486,4493
2012,72205,8798,81002,78823,212025,126164
2013,992,103,1095,5433,17608,11705
2014,2781,3000,5781,1744,6230,3470
2015,3500,,,2966,9738,6710
2016,,,,30138,74667,57928
2017,,,,2536,9790,6746
2018,,,,975,2884,2341
2019,,,,,6500,1438
