"","PopID","yr","cyc","rec2","rec3","rec4","rec5","rec","eff","juv","PopNmL","PopSeq","Surv","Surv_Tot"
"1",7,1948,4,0,0.032,1.643062,0.011182,1.654244,0.364597,NA,"Chilko",9,NA,NA
"2",7,1949,1,0,0.003732,0.560635,0.010368,0.571003,0.033029,NA,"Chilko",9,NA,NA
"3",7,1950,2,0,0.001489,0.183278,0.004705,0.187983,0.006555,NA,"Chilko",9,NA,NA
"4",7,1951,3,0,0.003925,0.644911,0.020763,0.665674,0.057563,NA,"Chilko",9,NA,NA
"5",7,1952,4,0,0.018732,1.763929,0.035975,1.799904,0.233628,22.973478,"Chilko",9,0.0783470400084828,0.0791624150248386
"6",7,1953,1,0,0.001172,0.514554,0.014004,0.528558,0.094471,7.690383,"Chilko",9,0.0687297368674616,0.0688821349989981
"7",7,1954,2,0,0.012234,0.632132,0.004415,0.636547,0.021247,3.007274,"Chilko",9,0.211669106306908,0.215737242432848
"8",7,1955,3,0,0.032418,1.407963,0.031011,1.438974,0.075834,9.15912,"Chilko",9,0.157108324817231,0.160647747818568
"9",7,1956,4,0,0.013905,2.379854,0.016684,2.396538,0.368607,28.242157,"Chilko",9,0.0848567621800276,0.0853491112594551
"10",7,1957,1,0,7.6e-05,0.117362,0.003149,0.120511,0.083128,9.458468,"Chilko",9,0.0127410696954306,0.0127491048233181
"11",7,1958,2,0,0.004055,0.27832,0.013613,0.291933,0.070433,6.902846,"Chilko",9,0.0422916866463485,0.0428791255085221
"12",7,1959,3,0,0.023792,2.080497,0.018659,2.099156,0.272891,32.629026,"Chilko",9,0.0643340073957463,0.0650631741198772
"13",7,1960,4,0,0.005472,0.958877,0.00598,0.964857,0.244864,33.817514,"Chilko",9,0.0285312811580414,0.0286930908049598
"14",7,1961,1,0,0.000256,0.052713,0.011583,0.064296,0.015038,1.593017,"Chilko",9,0.0403611511992653,0.0405218525602677
"15",7,1962,2,0,0.010657,0.960609,0.013582,0.974191,0.042125,8.808628,"Chilko",9,0.110595089269294,0.111804925806834
"16",7,1963,3,0,0.037579,1.112861,0.004045,1.116906,0.057207,9.263733,"Chilko",9,0.120567594078974,0.124624166089416
"17",7,1964,4,0,0.007252,1.818921,0.05581,1.874731,0.13159,23.643449,"Chilko",9,0.0792917733787486,0.0795984968182941
"18",7,1965,1,0,0.001787,0.138555,0.00236,0.140915,0.020813,2.343404,"Chilko",9,0.0601326105101809,0.0608951764185774
"19",7,1966,2,0,0.026456,0.744469,0.027636,0.772105,0.107541,16.816182,"Chilko",9,0.0459144055410437,0.0474876520722718
"20",7,1967,3,0,0.028734,1.933329,0.023351,1.95668,0.090006,8.812334,"Chilko",9,0.222038792447041,0.225299449612327
"21",7,1968,4,0,0.046952,2.349375,0.021925,2.3713,0.181912,31.772048,"Chilko",9,0.0746347858973397,0.0761125628414007
"22",7,1969,1,0,0.004126,0.369954,0.015839,0.385793,0.025519,3.570614,"Chilko",9,0.108046683287524,0.109202226843899
"23",7,1970,2,0,0.016775,0.630046,0.001084,0.63113,0.050923,3.848709,"Chilko",9,0.163984858299237,0.168343462703987
"24",7,1971,3,0,0.058786,0.740253,0,0.740253,0.097365,7.608969,"Chilko",9,0.0972868991843704,0.105012781626525
"25",7,1972,4,0,0.042709,1.947465,0.034424,1.981889,0.332353,20.273314,"Chilko",9,0.0977585115092678,0.0998651725120027
"26",7,1973,1,0,0.008835,0.200775,0.006807,0.207582,0.030231,4.300031,"Chilko",9,0.0482745356952078,0.0503291720455039
"27",7,1974,2,0,0.026487,0.641497,0.004312,0.645809,0.071127,7.245661,"Chilko",9,0.0891304464837646,0.0927860135879943
"28",7,1975,3,0,0.022821,1.389008,0.007375,1.396383,0.133782,14.145005,"Chilko",9,0.0987191591660802,0.100332520207663
"29",7,1976,4,0,0.008457,1.650944,0.025168,1.676112,0.228326,26.010772,"Chilko",9,0.064439148518929,0.0647642830439635
"30",7,1977,1,0,0.003346,0.190527,0.002743,0.19327,0.020385,2.268157,"Chilko",9,0.0852101507964396,0.0866853573187394
"31",7,1978,2,0,0.008616,1.169034,0.077743,1.246777,0.08557,16.490014,"Chilko",9,0.0756080013030917,0.0761304993434208
"32",7,1979,3,0,0.009358,1.615466,0.072206,1.687672,0.14792,21.152257,"Chilko",9,0.079786852060279,0.0802292634776516
"33",7,1980,4,0,0.012504,3.920494,0.473961,4.394455,0.293234,35.037719,"Chilko",9,0.125420693053677,0.125777565600089
"34",7,1981,1,0,0.001722,0.180656,0.004547,0.185203,0.020164,1.704324,"Chilko",9,0.108666544624144,0.109676915891579
"35",7,1982,2,0,0.052424,1.355953,0.131741,1.487694,0.142515,13.967231,"Chilko",9,0.106513166425042,0.110266523121154
"36",7,1983,3,0,0.045476,1.71733,0.036418,1.753748,0.213715,19.714627,"Chilko",9,0.0889566919019061,0.0912634055922032
"37",7,1984,4,0,0.011108,0.500714,0.00289,0.503604,0.283152,9.843219,"Chilko",9,0.0511625312816874,0.0522910239018354
