"","PopNmL","PopSeq","gm_mean(Surv4[is.na(Surv4) == F])"
"1","Early Stuart",1,6.29762651143478
"2","Bowron",2,6.54741179609602
"3","Fennel Creek",3,6.3209187963486
"4","Gates",4,9.78037373502063
"5","Nadina",5,6.15785918377802
"6","Upper Pitt River",6,1.26220018671707
"7","Scotch Creek",7,6.51998077570283
"8","Seymour",8,7.22081322076544
"9","Chilliwack",8.5,3.18579476453443
"10","Chilko",9,6.70413889413759
"11","Late Stuart",10,8.33081910919858
"12","Quesnel",11,8.26995333813022
"13","Stellako",12,6.61876798860795
"14","Harrison",13,3.32106894928114
"15","Raft",14,5.74607148078425
"16","Cultus",15,10.1997896108924
"17","Late Shuswap",16,0
"18","Portage",17,11.4905938067315
"19","Weaver Creek",18,10.229627177548
"20","Birkenhead",19,5.02435993972438
