"","PopNmL","PopSeq","max(Gen_Mean_Surv, na.rm = T)"
"1","Early Stuart",1,24.4695320897558
"2","Bowron",2,20.4177407919602
"3","Fennel Creek",3,53.4599953231462
"4","Gates",4,41.0020580714435
"5","Nadina",5,13.4700520279303
"6","Upper Pitt River",6,7.31585484607075
"7","Scotch Creek",7,21.4997711309111
"8","Seymour",8,29.2436857652445
"9","Chilliwack",8.5,5.82904758006962
"10","Chilko",9,25.2751543832287
"11","Late Stuart",10,57.2429376066184
"12","Quesnel",11,31.3628141496585
"13","Stellako",12,16.3195253748721
"14","Harrison",13,19.6882297168296
"15","Raft",14,14.3138880657687
"16","Cultus",15,63.8357011814221
"17","Late Shuswap",16,21.2336094742786
"18","Portage",17,69.062945347308
"19","Weaver Creek",18,41.8126422771984
"20","Birkenhead",19,21.5259243149111
